customer_id,payment_date,amount,payment_status
1,2022-04-21,29.99,Paid
1,2022-05-22,29.99,Paid
1,2022-06-22,29.99,Paid
1,2022-07-12,29.99,Paid
1,2022-08-21,29.99,Paid
1,2022-09-02,0.0,Failed
1,2022-10-15,29.99,Paid
1,2022-11-06,29.99,Paid
1,2022-12-12,29.99,Paid
1,2023-01-08,29.99,Paid
1,2023-02-13,29.99,Paid
1,2023-03-28,29.99,Paid
1,2023-04-09,0.0,Failed
1,2023-05-01,29.99,Paid
1,2023-06-09,29.99,Paid
1,2023-07-24,29.99,Paid
1,2023-08-03,29.99,Paid
1,2023-09-14,29.99,Paid
1,2023-10-13,29.99,Late
1,2023-11-04,29.99,Paid
1,2023-12-04,29.99,Paid
2,2023-03-10,29.99,Paid
2,2023-04-12,29.99,Paid
2,2023-05-25,29.99,Paid
2,2023-06-20,29.99,Paid
2,2023-07-05,29.99,Paid
2,2023-08-24,29.99,Paid
2,2023-09-07,29.99,Paid
2,2023-10-17,29.99,Late
2,2023-11-01,29.99,Paid
2,2023-12-23,29.99,Paid
3,2022-09-24,59.99,Paid
3,2022-10-16,59.99,Paid
3,2022-11-20,59.99,Late
3,2022-12-20,59.99,Paid
3,2023-01-18,59.99,Paid
3,2023-02-10,59.99,Paid
3,2023-03-28,59.99,Paid
3,2023-04-09,59.99,Paid
3,2023-05-24,59.99,Paid
3,2023-06-16,59.99,Paid
3,2023-07-16,59.99,Paid
3,2023-08-08,59.99,Paid
3,2023-09-19,59.99,Paid
3,2023-10-19,59.99,Paid
3,2023-11-28,59.99,Paid
3,2023-12-04,59.99,Paid
4,2022-04-28,29.99,Paid
4,2022-05-21,29.99,Paid
4,2022-06-10,29.99,Paid
4,2022-07-15,29.99,Paid
4,2022-08-17,29.99,Paid
4,2022-09-10,29.99,Paid
4,2022-10-26,29.99,Paid
4,2022-11-23,29.99,Paid
4,2022-12-22,29.99,Paid
4,2023-01-01,29.99,Paid
4,2023-02-15,29.99,Paid
4,2023-03-26,29.99,Paid
4,2023-04-26,29.99,Paid
4,2023-05-25,29.99,Paid
4,2023-06-23,29.99,Paid
4,2023-07-26,29.99,Paid
4,2023-08-05,29.99,Paid
4,2023-09-10,29.99,Late
4,2023-10-04,29.99,Paid
4,2023-11-12,29.99,Paid
4,2023-12-05,29.99,Paid
5,2022-03-13,99.99,Paid
5,2022-04-23,99.99,Paid
5,2022-05-02,99.99,Late
5,2022-06-11,99.99,Paid
5,2022-07-10,99.99,Paid
5,2022-08-04,99.99,Paid
5,2022-09-05,99.99,Paid
5,2022-10-17,99.99,Paid
5,2022-11-19,99.99,Paid
5,2022-12-20,99.99,Paid
5,2023-01-25,99.99,Paid
5,2023-02-26,99.99,Paid
5,2023-03-09,99.99,Paid
5,2023-04-13,99.99,Paid
5,2023-05-05,99.99,Paid
5,2023-06-17,99.99,Paid
5,2023-07-22,99.99,Paid
5,2023-08-13,99.99,Paid
5,2023-09-03,99.99,Paid
5,2023-10-24,99.99,Paid
5,2023-11-13,99.99,Paid
5,2023-12-25,99.99,Paid
6,2023-12-21,59.99,Paid
7,2022-01-10,99.99,Paid
7,2022-02-08,99.99,Paid
7,2022-03-28,99.99,Paid
7,2022-04-20,99.99,Paid
7,2022-05-06,99.99,Paid
7,2022-06-24,99.99,Paid
7,2022-07-22,99.99,Paid
7,2022-08-27,99.99,Paid
7,2022-09-05,99.99,Paid
7,2022-10-10,99.99,Paid
7,2022-11-13,99.99,Paid
7,2022-12-28,99.99,Paid
7,2023-01-03,99.99,Paid
7,2023-02-27,99.99,Paid
7,2023-03-19,99.99,Paid
7,2023-04-18,99.99,Paid
7,2023-05-06,99.99,Paid
7,2023-06-17,99.99,Paid
7,2023-07-02,99.99,Paid
7,2023-08-11,99.99,Paid
7,2023-09-03,99.99,Paid
7,2023-10-19,99.99,Paid
7,2023-11-14,99.99,Paid
7,2023-12-22,99.99,Paid
8,2023-09-17,29.99,Paid
8,2023-10-14,29.99,Paid
8,2023-11-14,29.99,Paid
8,2023-12-11,29.99,Paid
9,2022-05-15,29.99,Paid
9,2022-06-17,29.99,Paid
9,2022-07-20,29.99,Paid
9,2022-08-04,29.99,Paid
9,2022-09-19,29.99,Paid
9,2022-10-27,29.99,Paid
9,2022-11-22,29.99,Paid
9,2022-12-24,29.99,Paid
9,2023-01-04,29.99,Paid
9,2023-02-15,29.99,Paid
9,2023-03-25,29.99,Paid
9,2023-04-05,29.99,Paid
9,2023-05-17,29.99,Paid
9,2023-06-11,29.99,Paid
9,2023-07-24,29.99,Paid
9,2023-08-05,29.99,Paid
9,2023-09-28,29.99,Paid
9,2023-10-12,29.99,Paid
9,2023-11-08,29.99,Late
9,2023-12-05,29.99,Paid
10,2023-04-13,29.99,Paid
10,2023-05-19,29.99,Paid
10,2023-06-17,29.99,Paid
10,2023-07-19,29.99,Paid
10,2023-08-10,29.99,Paid
10,2023-09-07,29.99,Paid
10,2023-10-04,29.99,Paid
10,2023-11-06,29.99,Paid
10,2023-12-15,29.99,Paid
11,2022-08-02,59.99,Paid
11,2022-09-10,59.99,Late
11,2022-10-11,59.99,Paid
11,2022-11-12,59.99,Paid
12,2022-11-10,99.99,Paid
12,2022-12-14,99.99,Paid
12,2023-01-21,99.99,Paid
12,2023-02-22,99.99,Paid
12,2023-03-09,99.99,Late
12,2023-04-20,99.99,Paid
12,2023-05-02,99.99,Paid
12,2023-06-22,99.99,Paid
12,2023-07-17,99.99,Paid
12,2023-08-17,99.99,Paid
12,2023-09-17,99.99,Paid
12,2023-10-24,99.99,Paid
12,2023-11-16,99.99,Late
12,2023-12-18,99.99,Paid
13,2023-04-23,99.99,Paid
13,2023-05-28,99.99,Paid
13,2023-06-03,99.99,Paid
13,2023-07-01,99.99,Paid
13,2023-08-24,99.99,Paid
13,2023-09-18,99.99,Paid
13,2023-10-05,99.99,Paid
13,2023-11-12,99.99,Paid
13,2023-12-21,99.99,Paid
14,2022-03-17,59.99,Paid
14,2022-04-25,59.99,Paid
14,2022-05-26,59.99,Paid
14,2022-06-21,59.99,Paid
14,2022-07-06,59.99,Paid
14,2022-08-25,59.99,Paid
14,2022-09-26,59.99,Paid
14,2022-10-21,59.99,Paid
14,2022-11-04,59.99,Paid
14,2022-12-15,59.99,Paid
14,2023-01-15,59.99,Paid
14,2023-02-13,59.99,Paid
14,2023-03-08,59.99,Paid
14,2023-04-07,59.99,Paid
14,2023-05-17,59.99,Paid
14,2023-06-16,59.99,Late
14,2023-07-22,59.99,Paid
14,2023-08-26,0.0,Failed
14,2023-09-15,59.99,Paid
15,2023-01-23,29.99,Paid
15,2023-02-14,29.99,Paid
15,2023-03-05,29.99,Paid
15,2023-04-24,29.99,Paid
15,2023-05-16,29.99,Paid
15,2023-06-02,29.99,Paid
15,2023-07-12,29.99,Paid
15,2023-08-05,29.99,Paid
15,2023-09-18,29.99,Paid
